id,user,uid,version,changeset,timestamp
19413471,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:40Z
19413476,AndrewSnow,371121,3,58079806,2018-04-14T01:20:45Z
19413478,hofoen,52797,2,37603155,2016-03-04T08:23:53Z
19413480,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:42Z
19413483,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:43Z
19413488,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:44Z
19413520,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:54Z
19413524,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:54Z
19413532,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:56Z
19413545,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:59Z
19413562,DaveHansenTiger,7168,1,503285,2008-01-01T21:02:02Z
19413565,DaveHansenTiger,7168,1,503285,2008-01-01T21:02:03Z
19413639,cartodrummer,1200598,3,16040558,2013-05-09T01:12:23Z
19413660,bot-mode,451693,2,14528907,2013-01-04T17:30:44Z
19413682,bot-mode,451693,2,14495427,2013-01-02T06:45:39Z
19413702,bot-mode,451693,2,15801112,2013-04-20T18:18:31Z
19413704,bot-mode,451693,2,15801112,2013-04-20T18:18:32Z
19413706,bot-mode,451693,2,15801112,2013-04-20T18:18:33Z
19413709,bot-mode,451693,2,14528907,2013-01-04T17:30:44Z
19413732,bot-mode,451693,2,14495427,2013-01-02T06:45:39Z
19413752,bot-mode,451693,2,14495427,2013-01-02T06:45:39Z
19413761,bot-mode,451693,2,15801112,2013-04-20T18:18:43Z
19413932,bot-mode,451693,2,14528907,2013-01-04T17:30:44Z
19414002,hofoen,52797,3,37603724,2016-03-04T08:53:29Z
19414014,Maskulinum,618377,8,22088001,2014-05-02T15:48:01Z
19414022,jayL76,1767140,3,25129922,2014-08-31T03:00:06Z
19414116,AndrewSnow,371121,4,65572270,2018-12-18T07:23:13Z
19414122,hofoen,52797,4,37608648,2016-03-04T13:06:17Z
19414128,bot-mode,451693,3,14495427,2013-01-02T06:45:41Z
19414151,hofoen,52797,4,37603724,2016-03-04T08:53:26Z
19414165,bot-mode,451693,2,14495427,2013-01-02T06:45:41Z
19414212,bot-mode,451693,2,14528907,2013-01-04T17:30:45Z
19414261,AndrewSnow,371121,4,75698555,2019-10-15T05:59:57Z
19414329,bot-mode,451693,2,15801112,2013-04-20T18:20:46Z
19414346,bot-mode,451693,2,14495427,2013-01-02T06:45:41Z
19414364,hofoen,52797,5,37603155,2016-03-04T08:23:38Z
19414463,bot-mode,451693,2,15801112,2013-04-20T18:21:15Z
19414488,bot-mode,451693,2,14450516,2012-12-29T13:28:01Z
19414502,AndrewSnow,371121,3,70534372,2019-05-23T01:34:38Z
19414515,bot-mode,451693,2,15801112,2013-04-20T18:21:28Z
19414539,jayL76,1767140,3,25129922,2014-08-31T03:00:04Z
19414578,jayL76,1767140,6,25130153,2014-08-31T03:52:28Z
19414605,AndrewSnow,371121,3,58079806,2018-04-14T01:20:45Z
19414623,AndrewSnow,371121,3,75698555,2019-10-15T05:59:57Z
19414651,AndrewSnow,371121,4,75698555,2019-10-15T05:59:57Z
19414711,bot-mode,451693,2,14495427,2013-01-02T06:45:43Z
19414749,AndrewSnow,371121,3,58079890,2018-04-14T01:31:52Z
19414813,AndrewSnow,371121,4,70533459,2019-05-23T00:03:00Z
19414820,bot-mode,451693,2,14495427,2013-01-02T06:45:45Z
19414822,jayL76,1767140,3,25130153,2014-08-31T03:52:29Z
19414824,bot-mode,451693,2,15801112,2013-04-20T18:22:22Z
19414825,bot-mode,451693,2,15801112,2013-04-20T18:22:22Z
19414827,bot-mode,451693,2,15801112,2013-04-20T18:22:22Z
19414830,bot-mode,451693,2,15801112,2013-04-20T18:22:23Z
19414879,jayL76,1767140,3,25129922,2014-08-31T03:00:05Z
19414881,bot-mode,451693,2,15801112,2013-04-20T18:22:31Z
19414899,AndrewSnow,371121,3,70533459,2019-05-23T00:03:00Z
19414934,Omnific,1408522,4,22727274,2014-06-04T05:21:37Z
19414952,bot-mode,451693,2,14495427,2013-01-02T06:45:46Z
19414954,bot-mode,451693,2,14450516,2012-12-29T13:28:05Z
19414956,bot-mode,451693,2,14495427,2013-01-02T06:45:46Z
19414959,bot-mode,451693,2,15801112,2013-04-20T18:22:45Z
19414967,AndrewSnow,371121,4,65571969,2018-12-18T07:03:02Z
19414982,bot-mode,451693,2,14495427,2013-01-02T06:45:46Z
19414985,bot-mode,451693,2,14528907,2013-01-04T17:30:46Z
19415016,bot-mode,451693,2,14528907,2013-01-04T17:30:47Z
19415036,AndrewSnow,371121,5,58079890,2018-04-14T01:31:52Z
19415073,bot-mode,451693,2,14495427,2013-01-02T06:45:47Z
19415079,bot-mode,451693,2,14495427,2013-01-02T06:45:47Z
19415116,AndrewSnow,371121,3,58079890,2018-04-14T01:31:53Z
19415177,AndrewSnow,371121,8,65571969,2018-12-18T07:03:02Z
19415178,AndrewSnow,371121,4,70534372,2019-05-23T01:34:39Z
19415187,bot-mode,451693,2,14495427,2013-01-02T06:45:48Z
19415189,bot-mode,451693,2,14495427,2013-01-02T06:45:48Z
19415191,bot-mode,451693,3,14495427,2013-01-02T06:45:48Z
19415208,AndrewSnow,371121,3,58079890,2018-04-14T01:31:53Z
19415324,AndrewSnow,371121,4,75698555,2019-10-15T05:59:57Z
19415348,bot-mode,451693,2,14495427,2013-01-02T06:45:49Z
